latitude,longitude,result_city
29.8830556,-97.9411111,san marcos
29.38421,-98.581082,lackland afb
53.2,-2.916667,chester (uk/england)
28.9783333,-96.6458333,edna
21.4180556,-157.8036111,kaneohe
36.595,-82.1888889,bristol
51.434722,-3.18,penarth (uk/wales)
41.1175,-73.4083333,norwalk
33.5861111,-86.2861111,pell city
30.2947222,-82.9841667,live oak
33.9163889,-118.3516667,hawthorne
35.2333333,-82.7344444,brevard
40.6686111,-73.5275,bellmore
37.1536111,-83.7619444,manchester
35.8238889,-80.2536111,lexington
36.8430556,-83.3219444,harlan county
42.5377778,-83.2330556,west bloomfield
41.3252778,-72.1936111,niantic
32.364167,-64.678611,bermuda nas
42.3916667,-71.5666667,hudson
51.5,-3.2,cardiff (uk/wales)
38.1055556,-98.6597222,hudson
32.8544444,-79.975,north charleston
45.5827778,-122.3522222,washougal
51.783333,-0.783333,stoke mandeville (uk/england)
29.4238889,-98.4933333,san antonio
38.2541667,-85.7594444,louisville
40.7008333,-73.7133333,elmont
41.7002778,-73.9213889,poughkeepsie
53.970571,-111.689885,saddle lake (canada)
32.7152778,-117.1563889,san diego
38.7583333,-104.7425,security
29.7630556,-95.3630556,houston
32.7833333,-96.8,dallas
42.9955556,-71.4552778,manchester
-38.662334,178.017649,gisborne (new zealand)
29.7630556,-95.3630556,houston
44.7630556,-85.6205556,traverse city
41.0338889,-73.7633333,white plains
53.8,-1.583333,leeds (uk/england)
41.523427,-73.646795,holmes/pawling
43.0388889,-87.9063889,milwaukee
43.9627778,-70.2830556,new gloucester
40.015,-105.27,boulder
47.6063889,-122.3308333,seattle (ballard area)
34.1577778,-118.6375,calabasas
46.7163889,-122.9530556,centralia
36.722263,-86.577218,kranklin
31.7058333,-83.6533333,ashburn
35.235,-75.6288889,frisco
40.2736111,-76.8847222,harrisburg
30.1586111,-85.6602778,panama city
29.6158333,-95.5575,stafford
35.8905556,-83.7247222,seymour
32.7591667,-97.7969444,weatherford
55.183333,59.65,zlatoust (russia)
40.6936111,-89.5888889,peoria
36.2522222,-85.9516667,carthage
26.149798,-97.913611,mercedies
42.9097222,-73.8955556,burnt hills
34.1027778,-91.9922222,pinebergen
43.666667,-79.416667,toronto (greater toronto area) (canada)
43.0388889,-87.9063889,milwaukee
37.8044444,-122.2697222,oakland
39.0725,-93.7169444,higginsville
-33.093373,151.588982,lake macquarie (nsw&#44 australia)
32.7763889,-79.9311111,charleston
39.4402778,-84.3622222,monroe county
39.6411111,-85.1411111,connersville
33.4222222,-111.8219444,mesa
32.5436111,-83.5961111,bonaire
43.6666667,-92.9744444,austin
34.0983333,-118.3258333,hollywood
33.4483333,-112.0733333,phoenix (north part)
42.0372222,-88.2811111,elgin
36.175,-115.1363889,las vegas
36.175,-115.1363889,las vegas
40.935998,-73.901708,nyc/westchester area
47.6588889,-117.425,spokane (about 30 miles sw of&#44i-90&#44 maybe mm 254)
35.5847222,-80.8102778,mooresville
47.55,-52.666667,st. john&#39s (canada)
35.265,-84.5533333,delano
38.0194444,-122.1330556,martinez
39.1141667,-94.6272222,kansas city
32.7833333,-96.8,dallas
32.7152778,-117.1563889,san diego
46.2113889,-119.1361111,kennewick
37.6688889,-122.0797222,hayward
37.6447222,-115.7427778,rachel
41.6916667,-97.4841667,humphrey
27.150053,-82.480653,casey key (north end of)
45.565,-117.9163889,elgin
44.8838889,-84.3055556,lewiston
37.7241667,-89.8611111,perryville
26.525,-80.0666667,boynton beach
46.216667,-63.483333,victoria (canada)
43.40555,-88.705104,jueanu
38.627003,-90.199404,valley park area of st. louis
38.1266667,-92.0844444,brinktown
38.9988889,-84.6266667,florence
47.6063889,-122.3308333,seattle (west)
47.5405556,-122.635,port orchard
42.3952778,-94.6336111,rockwell city
-33.861481,151.205475,sydney (nsw&#44 australia)
49.25,-123.133333,vancouver (canada)
37.6688889,-122.0797222,hayward
41.0041667,-92.3736111,ottumwa
36.7477778,-119.7713889,fresno
33.4483333,-112.0733333,phoenix
36.8527778,-75.9783333,virginia beach
46.0130556,-91.4844444,hayward
44.5402778,-123.3663889,philomath
-34.928661,138.598633,adelaide (pt. wakefield) (south australia)
47.6063889,-122.3308333,seattle
46.216667,-63.483333,victoria (canada)
39.1619444,-84.4569444,cincinnati
45.5236111,-122.675,portland
41.79393,-86.743915,new buffulo
34.0952778,-118.1261111,alhambra
39.7683333,-86.1580556,indianapolis
38.8402778,-77.4291667,centreville
42.9897222,-116.0925,grand view
41.7791667,-83.5688889,temperance
33.8075,-78.7011111,crescent beach
35.0844444,-106.6505556,albuquerque
53.070884,-2.736506,bickerton (near wetherby) (uk/england)
45.3088889,-89.4963889,gleason
41.0886111,-74.1441667,mahwah
40.058324,-74.405661,worthington st. forest
49.966667,-98.3,portage la prairie (canada)
39.4666667,-87.4138889,terre haute
39.7683333,-86.1580556,indianapolis
45.416667,-80.1,nobel (canada)
39.6294444,-79.9561111,morgantown
37.8716667,-122.2716667,berkeley
41.5094444,-90.5786111,rock island
55.288131,23.957728,kedainiai (lithuania)
42.209774,-79.466844,chateauqua
42.2669444,-79.7108333,ripley
44.295,-93.2686111,faribault
40.7583333,-82.5155556,mansfield
38.9516667,-92.3338889,columbia
45.3088889,-89.4963889,gleason
47.6063889,-122.3308333,seattle
33.415,-111.5488889,apache junction
25.9327778,-80.1627778,north miami beach
34.0522222,-118.2427778,los angeles
40.5030556,-78.6305556,loretto
52.516667,-3.3,newtown (uk/wales)
35.4491667,-86.7888889,lewisburg
25.9327778,-80.1627778,north miami beach
47.4158333,-120.2919444,east wenatchee
35.3186111,-82.4611111,hendersonville
46.3580556,-94.2005556,brainerd
31.1911111,-95.2352778,pennington
37.775,-122.4183333,san francisco
34.8761111,-83.9583333,blairsville
35.2247222,-88.2491667,savannah
38.0683333,-78.8897222,waynesboro
35.20105,-91.831833,unsure
34.6377778,-97.8172222,bray
50.396389,-4.138611,plymouth (devonshire) (uk/england)
31.2133333,-82.3541667,waycross
33.5058333,-102.0086111,wolfforth
41.52,-81.4888889,lyndhurst
44.5366667,-122.9058333,lebanon
33.5441667,-84.2338889,stockbridge
39.7391667,-104.9841667,denver
30.3319444,-81.6558333,jacksonville
33.7205556,-116.2147222,indio
42.1033333,-76.2625,owego
40.0063889,-75.7036111,downingtown
30.2669444,-97.7427778,austin
33.5394444,-83.8194444,starrsville (covington)
26.705621,-80.03643,west palm beach florida
33.6675,-84.0177778,conyers
27.6383333,-80.3975,vero beach
27.2541667,-80.23,jensen beach
29.7630556,-95.3630556,houston
46.7833333,-92.1063889,duluth
40.68,-102.8388889,fleming
41.1577778,-80.0888889,grove city
33.4213889,-96.5769444,van alstyne
39.8855556,-104.9866667,northglenn
59.900209,5.282347,stord (norway)
42.983333,-81.25,london (canada)
45.5113889,-92.98,north branch
42.6291667,-73.865,slingerlands
40.7138889,-116.1030556,carlin
37.9747222,-87.5558333,evansville
42.6525,-73.7566667,albany
37.5483333,-121.9875,fremont
32.7252778,-114.6236111,yuma
41.6833333,-86.25,south bend
43.8280556,-91.3038889,la crescent
40.516977,-80.221348,moon township
39.9522222,-75.1641667,philadelphia
47.6063889,-122.3308333,seattle
38.2544444,-104.6086111,pueblo
39.1619444,-84.4569444,cincinnati
32.7152778,-117.1563889,san diego
43.0730556,-89.4011111,madison
40.4797222,-84.6283333,coldwater
38.8697222,-106.9872222,crested butte
36.1538889,-95.9925,tulsa
34.1111111,-109.2908333,eagar
36.7280556,-76.5838889,suffolk
33.8352778,-117.9136111,anaheim
34.2255556,-77.945,wilmington
39.1155556,-77.5638889,leesburg
41.7075,-86.895,michigan city
37.3230556,-122.0311111,cupertino
42.7675,-78.7441667,orchard park
40.2736111,-76.8847222,harrisburg
41.5930556,-81.5269444,euclid
34.3769444,-82.6958333,starr
41.0263889,-73.6288889,greenwich
32.8544444,-79.975,north charleston
37.615223,-122.389979,san francisco airport
38.7891667,-77.1875,springfield
41.1669444,-73.2052778,bridgeport
45.4077778,-122.5691667,clackamas
31.4636111,-100.4366667,san angelo
41.8525,-72.6441667,windsor
41.7886111,-89.6961111,sterling
47.9791667,-122.2008333,everett
35.8752778,-110.6197222,kykotsmovi
42.6525,-73.7566667,albany
33.7738889,-117.9405556,garden grove
25.7738889,-80.1938889,miami
42.7283333,-73.6922222,troy
36.7280556,-108.2180556,farmington
34.61,-112.315,prescott valley
42.0963889,-79.3758333,ashville
51.316667,-0.266667,epsom (surrey) (uk/england)
41.55,-71.4666667,north kingstown
41.35,-72.0788889,groton
42.468164,-71.014118,peabody-saugus
37.6086111,-77.3736111,mechanicsville
35.947474,-86.488367,murfeesboro/smyrna
43.25,-79.833333,hamilton (canada)
41.5622222,-72.6511111,middletown
41.4819444,-81.7983333,lakewood
39.9625,-76.7280556,york
41.1238889,-100.765,north platte
39.5297222,-84.0866667,waynesville
41.1669444,-73.2052778,bridgeport
37.615223,-122.389979,san francisco airport
32.7152778,-117.1563889,san diego
42.5802778,-83.0302778,sterling heights
43.0480556,-76.1477778,syracuse
43.0480556,-76.1477778,syracuse
38.8338889,-104.8208333,colorado springs
32.9975,-87.63,moundville
40.7141667,-74.0063889,new york city (bronx)
44.136076,-79.308339,mount albert (canada)
32.3122222,-106.7777778,las cruces
37.7305556,-88.9330556,marion
37.3394444,-121.8938889,san jose
33.4483333,-112.0733333,phoenix
46.6022222,-120.5047222,yakima
30.2669444,-97.7427778,austin
36.3436111,-83.2841667,bean station
46.8219444,-123.095,rochester
41.1147222,-74.15,suffern
33.7397222,-116.4119444,rancho mirage
40.858433,-74.163755,clifton
28.0777778,-82.7638889,palm harbor
36.864209,-86.710273,aurburn
38.6272222,-90.1977778,st. louis county
45.416667,-75.7,ottawa (canada)
40.9780556,-81.7822222,rittman
45.716667,-67.0,harvey station (canada)
44.4905556,-73.1113889,essex junction
29.9938889,-90.2416667,kenner
39.7463889,-84.2866667,drexel
42.7647222,-71.4402778,hudson
42.9275,-83.63,grand blanc
44.7791667,-93.3361111,savage
42.4775,-83.0277778,warren
42.3086111,-83.4822222,canton
39.1611111,-80.3522222,lost creek
42.7647222,-71.4402778,hudson
26.9338889,-80.0944444,jupiter
42.5294444,-83.7802778,brighton
-23.697479,133.883621,alice springs  (nt&#44 australia)
44.9133333,-93.5030556,minnetonka
38.3708333,-90.5002778,otto
41.2455556,-89.9247222,kewanee
41.2455556,-89.9247222,kewanee
35.0844444,-106.6505556,albuquerque
39.7763889,-74.8627778,jackson
33.9533333,-117.3952778,riverside
40.7141667,-74.0063889,new york city (brooklyn)
38.4191667,-82.4452778,huntington
36.6336111,-81.7838889,damascus
64.066667,-21.95,hafnarfjordur (iceland)
37.5422222,-122.515,montara
18.4463889,-66.3880556,vega baja (puerto rico)
36.5452778,-82.6611111,mount carmel
39.7944444,-87.3958333,highland
44.3875,-68.2044444,bar harbor (bar island crossover)
38.4088889,-121.3705556,elk grove
32.3666667,-86.3,montgomery
34.0522222,-118.2427778,los angeles
45.124411,-92.673537,somerset?
41.9438889,-85.6325,three rivers
45.2630556,-122.6913889,canby
45.333333,-80.033333,parry sound (near) (canada)
42.0386111,-78.3411111,portville
42.0386111,-78.3411111,portville
42.0386111,-78.3411111,portville
42.0386111,-78.3411111,portville
36.6230556,-93.1638889,kirbyville (due south of)
40.9730556,-117.7347222,winnemucca
42.1947222,-122.7083333,ashland
37.6866667,-96.9763889,augusta
30.3880556,-95.6961111,montgomery
36.4011111,-93.7377778,eureka springs
37.704344,-88.426757,parker&#39s lake
41.9316667,-87.9888889,addison (i-355 and us 20 (lake st.)
51.514125,-0.093689,london (uk/england)
43.9747222,-75.9111111,watertown
38.7138889,-121.4616667,elverta
52.75,-3.883333,dolgellau (uk/wales)
33.9791667,-118.0319444,whittier
45.1244444,-92.6733333,somerset
64.8377778,-147.7163889,fairbanks
39.7391667,-104.9841667,denver
31.2516667,-89.8375,columbia
39.2191667,-121.06,grass valley
40.7425,-84.1052778,lima
37.2152778,-93.2980556,springfield
39.5297222,-119.8127778,reno
42.1625,-71.0416667,randolph
32.7833333,-96.8,dallas
32.7152778,-117.1563889,san diego
43.6666667,-92.9744444,austin
40.7141667,-74.0063889,new york city (manhattan)
39.3280556,-120.1822222,truckee
37.916104,-85.956247,fort knox
43.4197222,-85.8,newaygo
41.492537,-99.901813,nebraska (above?&#44 or above south dakota)
38.7297222,-120.7975,placerville
40.0991667,-104.9366667,frederick
39.1652778,-86.5263889,bloomington
39.0911111,-94.4152778,independence
